,host_id,host_acceptance_rate,host_response_rate,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating,reviews_per_month,superhost_flag,host_identity_verified_flag
2008,66193031,100%,100%,35.57124,-82.63912,Entire house,Entire home/apt,6,1,2.0,3.0,100.00,99.0,9.3,1,1
2009,108722228,100%,100%,35.59225,-82.54991,Entire condominium,Entire home/apt,11,3,4.0,4.0,474.00,99.0,3.44,1,1
2010,99076139,100%,100%,35.51507,-82.59692,Entire house,Entire home/apt,5,2,3.0,3.0,146.00,99.0,2.83,1,1
2011,151397468,99%,100%,35.44706,-82.513,Entire cabin,Entire home/apt,4,2,2.0,2.0,117.00,85.0,0.74,0,0
2012,119766721,100%,96%,35.59413,-82.55852,Entire apartment,Entire home/apt,2,1,1.0,1.0,145.00,95.0,3.91,1,0
2013,174553536,99%,100%,35.54401,-82.4808,Entire house,Entire home/apt,6,2,3.0,3.0,125.00,98.0,5.25,0,0
2014,149601167,99%,100%,35.54993,-82.49452,Entire house,Entire home/apt,9,2.5,2.0,5.0,103.00,100.0,2.0,0,1
2015,168758499,95%,100%,35.6251,-82.54865,Entire cottage,Entire home/apt,2,1,1.0,1.0,251.00,100.0,2.27,1,1
2016,55986658,83%,100%,35.59047,-82.58868,Private room in house,Private room,2,1,1.0,1.0,70.00,96.0,1.17,0,1
2017,371552792,100%,100%,35.57654,-82.50495,Entire apartment,Entire home/apt,6,1,1.0,2.0,143.00,99.0,5.4,1,0
2018,51111567,95%,90%,35.52517,-82.52849,Private room in apartment,Private room,2,1,1.0,1.0,38.00,98.0,4.36,1,1
2019,37273494,100%,100%,35.56032,-82.51571,Entire house,Entire home/apt,2,2,1.0,1.0,138.00,91.0,1.72,0,0
2021,127610784,100%,100%,35.62782,-82.47866,Private room in house,Private room,3,1,2.0,2.0,55.00,100.0,0.89,0,1
2022,202027810,100%,100%,35.59863,-82.60372,Entire house,Entire home/apt,4,2,2.0,2.0,110.00,100.0,1.47,0,0
2023,339715199,96%,100%,35.54918,-82.48046,Entire guesthouse,Entire home/apt,2,1,1.0,1.0,121.00,98.0,2.11,1,1
2024,31991438,97%,100%,35.61149,-82.47532,Entire house,Entire home/apt,6,1,3.0,3.0,109.00,100.0,2.65,1,1
2025,372039261,93%,100%,35.58294,-82.54765,Entire guest suite,Entire home/apt,4,1,,1.0,179.00,100.0,5.09,1,0
2026,151279507,100%,100%,35.61147,-82.60474,Hut,Entire home/apt,2,Half-bath,,0.0,25.00,98.0,2.17,1,0
2027,105838974,98%,100%,35.52878,-82.49028,Entire house,Entire home/apt,8,2,3.0,6.0,231.00,95.0,6.19,1,1
2028,3637640,95%,100%,35.60269,-82.55637,Entire apartment,Entire home/apt,3,1,1.0,1.0,75.00,99.0,3.54,1,1
2029,149601167,99%,100%,35.54929,-82.49694,Entire house,Entire home/apt,10,3.5,3.0,10.0,204.00,100.0,2.24,0,1
2030,31551290,100%,100%,35.5981,-82.55443,Entire condominium,Entire home/apt,3,2,1.0,1.0,140.00,98.0,1.65,0,1
2032,372785378,100%,100%,35.50359,-82.60628,Entire guest suite,Entire home/apt,3,1,1.0,1.0,95.00,99.0,4.41,1,0
2033,18571912,100%,100%,35.58309,-82.57681,Entire guest suite,Entire home/apt,2,1,1.0,1.0,54.00,100.0,6.59,1,1
2034,146673955,100%,100%,35.62283,-82.57546,Entire cottage,Entire home/apt,4,2,2.0,2.0,175.00,96.0,0.97,0,0
2035,29325959,100%,100%,35.64158,-82.60298,Entire house,Entire home/apt,11,3,4.0,5.0,250.00,100.0,0.99,0,0
2036,8201847,94%,100%,35.6048,-82.55876,Entire apartment,Entire home/apt,2,1,1.0,1.0,150.00,100.0,0.76,0,1
2037,174586650,100%,100%,35.58553,-82.49214,Entire cottage,Entire home/apt,2,1,,1.0,50.00,100.0,0.32,1,1
2038,87524887,92%,100%,35.64289,-82.47319,Entire apartment,Entire home/apt,2,1,2.0,1.0,60.00,98.0,1.54,1,1
2039,10624468,98%,100%,35.5827,-82.50101,Entire guest suite,Entire home/apt,2,1,1.0,1.0,70.00,97.0,3.66,1,1
2040,180564557,100%,100%,35.5956,-82.59439,Entire house,Entire home/apt,4,2,2.0,2.0,125.00,97.0,6.0,1,1
2041,167246897,100%,100%,35.576,-82.6091,Entire house,Entire home/apt,4,1,2.0,2.0,121.00,100.0,0.59,1,1
